Designator,Mid X,Mid Y
R905,111.25201mm,98.3742mm
C911,106.97391mm,91.7636mm
R904,101.32241mm,89.2363mm
C775,68.17313mm,92.71609mm
C776,69.13578mm,89.4014mm
C740,68.17541mm,96.234mm
C675,86.35952mm,66.6049mm
C676,87.32218mm,63.2902mm
C640,86.38446mm,70.13295mm
C835,69.74766mm,82.54614mm
C837,69.21244mm,78.20456mm
C834,69.72226mm,69.84614mm
C836,69.18704mm,65.50456mm
C832,76.80886mm,82.49534mm
C833,76.27364mm,78.15376mm
L1,222.58671mm,54.0548mm
L2,222.61211mm,56.0614mm
C292,225.62201mm,54.8422mm
C220,211.7963mm,50.434mm
C221,211.8217mm,48.6306mm
C289,210.0056mm,54.8155mm
C290,212.444mm,54.5742mm
C28,220.36421mm,48.797mm
C39,220.36421mm,51.083mm
RA607,187.70642mm,125.48842mm
RA608,185.97922mm,127.29182mm
RA610,182.32162mm,127.31722mm
RA609,184.32822mm,125.51382mm
RA619,189.56062mm,119.92582mm
RA618,180.89922mm,117.48742mm
RA635,180.87382mm,120.07822mm
UA603,185.27062mm,121.08122mm
RA627,187.45242mm,116.26822mm
RA628,186.18242mm,116.26822mm
RA629,184.96322mm,116.26822mm
RA630,183.71862mm,116.24282mm
UA601,175.85141mm,121.07381mm
RA602,171.85121mm,116.688mm
RA601,171.85121mm,119.1518mm
RA634,204.18522mm,116.15062mm
RA633,205.42982mm,116.17602mm
RA632,206.64902mm,116.17602mm
RA631,207.91902mm,116.17602mm
UA604,205.73722mm,120.98902mm
RA622,201.34042mm,119.98602mm
RA620,201.36582mm,117.39522mm
RA621,210.02722mm,119.83362mm
RA613,204.79482mm,125.42162mm
RA614,202.78822mm,127.22502mm
RA612,206.44582mm,127.19962mm
RA611,208.17302mm,125.39622mm
RA626,193.86182mm,116.22102mm
RA625,195.10642mm,116.24642mm
RA624,196.32562mm,116.24642mm
RA623,197.59562mm,116.24642mm
UA602,195.41382mm,121.05941mm
RA617,191.01702mm,120.05642mm
RA615,191.04242mm,117.46562mm
RA616,199.70382mm,119.90402mm
RA605,194.47142mm,125.49202mm
RA606,192.46482mm,127.29542mm
RA604,196.12242mm,127.27002mm
RA603,197.84962mm,125.46662mm
DA601,216.30042mm,138.87683mm
FA601,216.32582mm,133.84582mm
RA507,123.70641mm,125.48841mm
RA508,121.97921mm,127.29181mm
